checking,duration,credit_history,purpose,credit_amount,savings,employment,installment_rate,personal_status,other_debtors,residence,property,age,other_installments,housing,existing_credits,job,dependents,telephone,foreign,target
0–200 DM,12,Critical/other existing credits,Used car,1804,100–500 DM,<1 year,3,Male: single,None,4,Building society/life insurance,44,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,10,Critical/other existing credits,Furniture/equipment,2069,Unknown/no savings,1–4 years,2,Male: married/widowed,None,1,Car/other,26,None,Own,2,Skilled employee/official,1,None,No,Good
< 0 DM,6,Existing paid duly,Furniture/equipment,1374,<100 DM,1–4 years,1,Male: single,None,2,Real estate,36,Bank,Own,1,Unskilled resident,1,Yes,Yes,Good
No checking account,6,No credits/all paid,Radio/TV,426,<100 DM,>=7 years,4,Male: married/widowed,None,4,Car/other,39,None,Own,1,Unskilled resident,1,None,Yes,Good
>= 200 DM,12,All paid,Radio/TV,409,>=1000 DM,1–4 years,3,Female: divorced/separated/married,None,3,Real estate,42,None,Rent,2,Skilled employee/official,1,None,Yes,Good
0–200 DM,7,Existing paid duly,Radio/TV,2415,<100 DM,1–4 years,3,Male: single,Guarantor,2,Real estate,34,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,60,Delay in past,Business,6836,<100 DM,>=7 years,3,Male: single,None,4,Unknown/no property,63,None,Own,2,Skilled employee/official,1,Yes,Yes,Bad
0–200 DM,18,Existing paid duly,Business,1913,>=1000 DM,<1 year,3,Male: married/widowed,None,3,Real estate,36,Bank,Own,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,24,Existing paid duly,Furniture/equipment,4020,<100 DM,1–4 years,2,Male: single,None,2,Car/other,27,Stores,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,18,Existing paid duly,New car,5866,100–500 DM,1–4 years,2,Male: single,None,2,Car/other,30,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,12,Critical/other existing credits,Business,1264,Unknown/no savings,>=7 years,4,Male: single,None,4,Unknown/no property,57,None,Rent,1,Unskilled resident,1,None,Yes,Good
>= 200 DM,12,Existing paid duly,Furniture/equipment,1474,<100 DM,<1 year,4,Female: divorced/separated/married,None,1,Building society/life insurance,33,Bank,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,45,Critical/other existing credits,Radio/TV,4746,<100 DM,<1 year,4,Male: single,None,2,Building society/life insurance,25,None,Own,2,Unskilled resident,1,None,Yes,Bad
No checking account,48,Critical/other existing credits,Education,6110,<100 DM,1–4 years,1,Male: single,None,3,Unknown/no property,31,Bank,For free,1,Skilled employee/official,1,Yes,Yes,Good
>= 200 DM,18,Existing paid duly,Radio/TV,2100,<100 DM,1–4 years,4,Male: single,Co-applicant,2,Real estate,37,Stores,Own,1,Skilled employee/official,1,None,Yes,Bad
>= 200 DM,10,Existing paid duly,Domestic appliances,1225,<100 DM,1–4 years,2,Male: single,None,2,Car/other,37,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,9,Existing paid duly,Radio/TV,458,<100 DM,1–4 years,4,Male: single,None,3,Real estate,24,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,30,Existing paid duly,Radio/TV,2333,500–1000 DM,>=7 years,4,Male: single,None,2,Car/other,30,Bank,Own,1,Management/self-employed/highly qualified,1,None,Yes,Good
0–200 DM,12,Existing paid duly,Radio/TV,1158,500–1000 DM,1–4 years,3,Male: divorced/separated,None,1,Car/other,26,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,18,Delay in past,Repairs,6204,<100 DM,1–4 years,2,Male: single,None,4,Real estate,44,None,Own,1,Unskilled resident,2,Yes,Yes,Good
< 0 DM,30,Critical/other existing credits,Used car,6187,100–500 DM,4–7 years,1,Male: married/widowed,None,4,Car/other,24,None,Rent,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,48,Critical/other existing credits,Used car,6143,<100 DM,>=7 years,4,Female: divorced/separated/married,None,4,Unknown/no property,58,Stores,For free,2,Unskilled resident,1,None,Yes,Bad
No checking account,11,Critical/other existing credits,New car,1393,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Car/other,35,None,Own,2,Management/self-employed/highly qualified,1,None,Yes,Good
No checking account,36,Existing paid duly,Radio/TV,2299,500–1000 DM,>=7 years,4,Male: single,None,4,Car/other,39,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,6,Existing paid duly,Used car,1352,500–1000 DM,Unemployed,1,Female: divorced/separated/married,None,2,Building society/life insurance,23,None,Rent,1,Unemployed/unskilled non-resident,1,Yes,Yes,Good
No checking account,11,Critical/other existing credits,New car,7228,<100 DM,1–4 years,1,Male: single,None,4,Building society/life insurance,39,None,Own,2,Unskilled resident,1,None,Yes,Good
No checking account,12,Existing paid duly,Radio/TV,2073,100–500 DM,1–4 years,4,Female: divorced/separated/married,Co-applicant,2,Real estate,28,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,24,Delay in past,Furniture/equipment,2333,Unknown/no savings,<1 year,4,Male: single,None,2,Building society/life insurance,29,Bank,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,27,Delay in past,Used car,5965,<100 DM,>=7 years,1,Male: single,None,2,Car/other,30,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,12,Existing paid duly,Radio/TV,1262,<100 DM,1–4 years,3,Male: single,None,2,Car/other,25,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,18,Existing paid duly,Used car,3378,Unknown/no savings,1–4 years,2,Male: single,None,1,Building society/life insurance,31,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,36,Delay in past,New car,2225,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,57,Bank,For free,2,Skilled employee/official,1,Yes,Yes,Bad
No checking account,6,All paid,New car,783,Unknown/no savings,1–4 years,1,Male: single,Guarantor,2,Real estate,26,Stores,Own,1,Unskilled resident,2,None,Yes,Good
0–200 DM,12,Existing paid duly,Radio/TV,6468,Unknown/no savings,Unemployed,2,Male: single,None,1,Unknown/no property,52,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
No checking account,36,Critical/other existing credits,Radio/TV,9566,<100 DM,1–4 years,2,Female: divorced/separated/married,None,2,Car/other,31,Stores,Own,2,Skilled employee/official,1,None,Yes,Good
>= 200 DM,18,Existing paid duly,New car,1961,<100 DM,>=7 years,3,Female: divorced/separated/married,None,2,Car/other,23,None,Own,1,Management/self-employed/highly qualified,1,None,Yes,Good
< 0 DM,36,Critical/other existing credits,Furniture/equipment,6229,<100 DM,<1 year,4,Female: divorced/separated/married,Co-applicant,4,Unknown/no property,23,None,Rent,2,Unskilled resident,1,Yes,Yes,Bad
0–200 DM,9,Existing paid duly,Business,1391,<100 DM,1–4 years,2,Male: married/widowed,None,1,Real estate,27,Bank,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,15,Critical/other existing credits,Radio/TV,1537,Unknown/no savings,>=7 years,4,Male: single,Guarantor,4,Real estate,50,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,36,No credits/all paid,Business,1953,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,61,None,For free,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
0–200 DM,48,No credits/all paid,Business,14421,<100 DM,1–4 years,2,Male: single,None,2,Car/other,25,None,Own,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,24,Existing paid duly,Radio/TV,3181,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Building society/life insurance,26,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,27,Existing paid duly,Repairs,5190,Unknown/no savings,>=7 years,4,Male: single,None,4,Building society/life insurance,48,None,Own,4,Skilled employee/official,2,Yes,Yes,Good
No checking account,12,Existing paid duly,Radio/TV,2171,<100 DM,<1 year,2,Female: divorced/separated/married,None,2,Car/other,29,Bank,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,12,Existing paid duly,New car,1007,>=1000 DM,1–4 years,4,Male: married/widowed,None,1,Real estate,22,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,36,Existing paid duly,Education,1819,<100 DM,1–4 years,4,Male: single,None,4,Unknown/no property,37,Stores,For free,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,36,Existing paid duly,Radio/TV,2394,Unknown/no savings,1–4 years,4,Female: divorced/separated/married,None,4,Car/other,25,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,36,Existing paid duly,Used car,8133,<100 DM,1–4 years,1,Female: divorced/separated/married,None,2,Building society/life insurance,30,Bank,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,7,Critical/other existing credits,Radio/TV,730,Unknown/no savings,>=7 years,4,Male: single,None,2,Building society/life insurance,46,None,Rent,2,Unskilled resident,1,Yes,Yes,Good
< 0 DM,8,Critical/other existing credits,Other,1164,<100 DM,>=7 years,3,Male: single,None,4,Unknown/no property,51,Bank,For free,2,Management/self-employed/highly qualified,2,Yes,Yes,Good
0–200 DM,42,Critical/other existing credits,Business,5954,<100 DM,4–7 years,2,Female: divorced/separated/married,None,1,Real estate,41,Bank,Own,2,Unskilled resident,1,None,Yes,Good
< 0 DM,36,Existing paid duly,Education,1977,Unknown/no savings,>=7 years,4,Male: single,None,4,Unknown/no property,40,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
< 0 DM,12,Critical/other existing credits,Used car,1526,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,66,None,For free,2,Management/self-employed/highly qualified,1,None,Yes,Good
< 0 DM,42,Existing paid duly,Radio/TV,3965,<100 DM,<1 year,4,Male: single,None,3,Car/other,34,None,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,11,Delay in past,Radio/TV,4771,<100 DM,4–7 years,2,Male: single,None,4,Building society/life insurance,51,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,54,No credits/all paid,Used car,9436,Unknown/no savings,1–4 years,2,Male: single,None,2,Building society/life insurance,39,None,Own,1,Unskilled resident,2,None,Yes,Good
0–200 DM,30,Existing paid duly,Furniture/equipment,3832,<100 DM,<1 year,2,Male: married/widowed,None,1,Building society/life insurance,22,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,24,Existing paid duly,Radio/TV,5943,Unknown/no savings,<1 year,1,Female: divorced/separated/married,None,1,Car/other,44,None,Own,2,Skilled employee/official,1,Yes,Yes,Bad
No checking account,15,Existing paid duly,Radio/TV,1213,500–1000 DM,>=7 years,4,Male: single,None,3,Building society/life insurance,47,Stores,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,18,Existing paid duly,Business,1568,100–500 DM,1–4 years,3,Female: divorced/separated/married,None,4,Building society/life insurance,24,None,Rent,1,Unskilled resident,1,None,Yes,Good
< 0 DM,24,Existing paid duly,Other,1755,<100 DM,>=7 years,4,Female: divorced/separated/married,Guarantor,4,Real estate,58,None,Own,1,Unskilled resident,1,Yes,Yes,Good
< 0 DM,10,Existing paid duly,Radio/TV,2315,<100 DM,>=7 years,3,Male: single,None,4,Real estate,52,None,Own,1,Unskilled resident,1,None,Yes,Good
No checking account,12,Critical/other existing credits,Business,1412,<100 DM,1–4 years,4,Female: divorced/separated/married,Guarantor,2,Real estate,29,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
0–200 DM,18,Critical/other existing credits,Furniture/equipment,1295,<100 DM,<1 year,4,Female: divorced/separated/married,None,1,Building society/life insurance,27,None,Own,2,Skilled employee/official,1,None,Yes,Good
0–200 DM,36,Existing paid duly,Education,12612,100–500 DM,1–4 years,1,Male: single,None,4,Unknown/no property,47,None,For free,1,Skilled employee/official,2,Yes,Yes,Bad
< 0 DM,18,Existing paid duly,New car,2249,100–500 DM,4–7 years,4,Male: single,None,3,Car/other,30,None,Own,1,Management/self-employed/highly qualified,2,Yes,Yes,Good
< 0 DM,12,No credits/all paid,Repairs,1108,<100 DM,4–7 years,4,Male: single,None,3,Real estate,28,None,Own,2,Skilled employee/official,1,None,Yes,Bad
No checking account,12,Critical/other existing credits,Radio/TV,618,<100 DM,>=7 years,4,Male: single,None,4,Real estate,56,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,12,Critical/other existing credits,Used car,1409,<100 DM,>=7 years,4,Male: single,None,3,Real estate,54,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,12,Critical/other existing credits,Radio/TV,797,Unknown/no savings,>=7 years,4,Female: divorced/separated/married,None,3,Building society/life insurance,33,Bank,Own,1,Unskilled resident,2,None,Yes,Bad
>= 200 DM,24,Critical/other existing credits,Furniture/equipment,3617,Unknown/no savings,>=7 years,4,Male: single,Co-applicant,4,Unknown/no property,20,None,Rent,2,Skilled employee/official,1,None,Yes,Good
0–200 DM,12,Existing paid duly,New car,1318,>=1000 DM,>=7 years,4,Male: single,None,4,Real estate,54,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,54,No credits/all paid,Business,15945,<100 DM,<1 year,3,Male: single,None,4,Unknown/no property,58,None,Rent,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,12,Critical/other existing credits,Education,2012,Unknown/no savings,4–7 years,4,Female: divorced/separated/married,None,2,Car/other,61,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,18,Existing paid duly,Business,2622,100–500 DM,1–4 years,4,Male: single,None,4,Car/other,34,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,36,Critical/other existing credits,Radio/TV,2337,<100 DM,>=7 years,4,Male: single,None,4,Real estate,36,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,20,Delay in past,Used car,7057,Unknown/no savings,4–7 years,3,Male: single,None,4,Building society/life insurance,36,Bank,Rent,2,Management/self-employed/highly qualified,2,Yes,Yes,Good
No checking account,24,Existing paid duly,New car,1469,100–500 DM,>=7 years,4,Male: married/widowed,None,4,Real estate,41,None,Rent,1,Unskilled resident,1,None,Yes,Good
0–200 DM,36,Existing paid duly,Radio/TV,2323,<100 DM,4–7 years,4,Male: single,None,4,Car/other,24,None,Rent,1,Skilled employee/official,1,None,Yes,Good
No checking account,6,Delay in past,Radio/TV,932,<100 DM,1–4 years,3,Female: divorced/separated/married,None,2,Real estate,24,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,9,Critical/other existing credits,Furniture/equipment,1919,<100 DM,4–7 years,4,Male: single,None,3,Car/other,35,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,12,Existing paid duly,Used car,2445,Unknown/no savings,<1 year,2,Male: married/widowed,None,4,Car/other,26,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,24,Critical/other existing credits,Other,11938,<100 DM,1–4 years,2,Male: single,Co-applicant,3,Car/other,39,None,Own,2,Management/self-employed/highly qualified,2,Yes,Yes,Bad
No checking account,18,All paid,New car,6458,<100 DM,>=7 years,2,Male: single,None,4,Unknown/no property,39,Bank,Own,2,Management/self-employed/highly qualified,2,Yes,Yes,Bad
0–200 DM,12,Existing paid duly,New car,6078,<100 DM,4–7 years,2,Male: single,None,2,Car/other,32,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,24,Existing paid duly,Furniture/equipment,7721,Unknown/no savings,<1 year,1,Female: divorced/separated/married,None,2,Building society/life insurance,30,None,Own,1,Skilled employee/official,1,Yes,No,Good
0–200 DM,14,Existing paid duly,Business,1410,500–1000 DM,>=7 years,1,Male: married/widowed,None,2,Real estate,35,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,6,Delay in past,Business,1449,100–500 DM,>=7 years,1,Male: divorced/separated,None,2,Car/other,31,Bank,Own,2,Skilled employee/official,2,None,Yes,Good
>= 200 DM,15,Existing paid duly,Education,392,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Building society/life insurance,23,None,Rent,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,18,Existing paid duly,New car,6260,<100 DM,4–7 years,3,Male: single,None,3,Real estate,28,None,Rent,1,Unskilled resident,1,None,Yes,Good
No checking account,36,Critical/other existing credits,New car,7855,<100 DM,1–4 years,4,Female: divorced/separated/married,None,2,Real estate,25,Stores,Own,2,Skilled employee/official,1,Yes,Yes,Bad
< 0 DM,12,Existing paid duly,Radio/TV,1680,500–1000 DM,>=7 years,3,Male: married/widowed,None,1,Real estate,35,None,Own,1,Skilled employee/official,1,None,Yes,Good
No checking account,48,Critical/other existing credits,Radio/TV,3578,Unknown/no savings,>=7 years,4,Male: single,None,1,Real estate,47,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,42,Existing paid duly,Radio/TV,7174,Unknown/no savings,4–7 years,4,Female: divorced/separated/married,None,3,Car/other,30,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Bad
< 0 DM,10,Critical/other existing credits,Furniture/equipment,2132,Unknown/no savings,<1 year,2,Female: divorced/separated/married,Co-applicant,3,Real estate,27,None,Rent,2,Skilled employee/official,1,None,No,Good
< 0 DM,33,Critical/other existing credits,Furniture/equipment,4281,500–1000 DM,1–4 years,1,Female: divorced/separated/married,None,4,Car/other,23,None,Own,2,Skilled employee/official,1,None,Yes,Bad
0–200 DM,12,Critical/other existing credits,New car,2366,500–1000 DM,4–7 years,3,Male: divorced/separated,None,3,Car/other,36,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,21,Existing paid duly,Radio/TV,1835,<100 DM,1–4 years,3,Female: divorced/separated/married,None,2,Real estate,25,None,Own,2,Skilled employee/official,1,Yes,Yes,Bad
No checking account,24,Critical/other existing credits,Used car,3868,<100 DM,>=7 years,4,Female: divorced/separated/married,None,2,Car/other,41,None,Rent,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
No checking account,12,Existing paid duly,Furniture/equipment,1768,<100 DM,1–4 years,3,Male: single,None,2,Real estate,24,None,Rent,1,Unskilled resident,1,None,Yes,Good
>= 200 DM,10,Critical/other existing credits,New car,781,<100 DM,>=7 years,4,Male: single,None,4,Unknown/no property,63,None,For free,2,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,18,Existing paid duly,Furniture/equipment,1924,Unknown/no savings,<1 year,4,Female: divorced/separated/married,None,3,Real estate,27,None,Rent,1,Skilled employee/official,1,None,Yes,Bad
< 0 DM,12,Critical/other existing credits,New car,2121,<100 DM,1–4 years,4,Male: single,None,2,Building society/life insurance,30,None,Own,2,Skilled employee/official,1,None,Yes,Good
< 0 DM,12,Existing paid duly,Radio/TV,701,<100 DM,1–4 years,4,Male: married/widowed,None,2,Real estate,40,None,Own,1,Unskilled resident,1,None,Yes,Good
0–200 DM,12,Existing paid duly,Repairs,639,<100 DM,1–4 years,4,Male: single,None,2,Car/other,30,None,Own,1,Skilled employee/official,1,None,Yes,Bad
0–200 DM,12,Critical/other existing credits,Used car,1860,<100 DM,Unemployed,4,Male: single,None,2,Car/other,34,None,Own,2,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,12,Critical/other existing credits,New car,3499,<100 DM,1–4 years,3,Female: divorced/separated/married,Co-applicant,2,Real estate,29,None,Own,2,Skilled employee/official,1,None,Yes,Bad
0–200 DM,48,Existing paid duly,New car,8487,Unknown/no savings,4–7 years,1,Female: divorced/separated/married,None,2,Car/other,24,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,36,Delay in past,Education,6887,<100 DM,1–4 years,4,Male: single,None,3,Building society/life insurance,29,Stores,Own,1,Skilled employee/official,1,Yes,Yes,Bad
No checking account,15,Existing paid duly,Furniture/equipment,2708,<100 DM,<1 year,2,Male: single,None,3,Building society/life insurance,27,Bank,Own,2,Unskilled resident,1,None,Yes,Good
No checking account,18,Existing paid duly,Furniture/equipment,1984,<100 DM,1–4 years,4,Male: single,None,4,Unknown/no property,47,Bank,For free,2,Skilled employee/official,1,None,Yes,Good
No checking account,60,Existing paid duly,Radio/TV,10144,100–500 DM,4–7 years,2,Female: divorced/separated/married,None,4,Real estate,21,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
No checking account,12,Critical/other existing credits,Radio/TV,1240,Unknown/no savings,>=7 years,4,Female: divorced/separated/married,None,2,Real estate,38,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,27,Delay in past,Used car,8613,>=1000 DM,1–4 years,2,Male: single,None,2,Car/other,27,None,Own,2,Skilled employee/official,1,None,Yes,Good
0–200 DM,12,Existing paid duly,Radio/TV,766,500–1000 DM,1–4 years,4,Male: single,None,3,Real estate,66,None,Own,1,Unskilled resident,1,None,Yes,Bad
0–200 DM,15,Critical/other existing credits,Radio/TV,2728,Unknown/no savings,4–7 years,4,Male: single,Guarantor,2,Real estate,35,Bank,Own,3,Skilled employee/official,1,Yes,Yes,Good
>= 200 DM,12,Existing paid duly,Radio/TV,1881,<100 DM,1–4 years,2,Female: divorced/separated/married,None,2,Car/other,44,None,Rent,1,Unskilled resident,1,Yes,Yes,Good
>= 200 DM,6,Existing paid duly,New car,709,>=1000 DM,<1 year,2,Male: married/widowed,None,2,Real estate,27,None,Own,1,Unemployed/unskilled non-resident,1,None,No,Good
0–200 DM,36,Existing paid duly,Radio/TV,4795,<100 DM,<1 year,4,Female: divorced/separated/married,None,1,Unknown/no property,30,None,Own,1,Management/self-employed/highly qualified,1,Yes,Yes,Good
< 0 DM,27,Existing paid duly,Radio/TV,3416,<100 DM,1–4 years,3,Male: single,None,2,Car/other,27,None,Own,1,Management/self-employed/highly qualified,1,None,Yes,Good
< 0 DM,18,Existing paid duly,Furniture/equipment,2462,<100 DM,1–4 years,2,Male: single,None,2,Car/other,22,None,Own,1,Skilled employee/official,1,None,Yes,Bad
No checking account,21,Critical/other existing credits,Furniture/equipment,2288,<100 DM,<1 year,4,Female: divorced/separated/married,None,4,Building society/life insurance,23,None,Own,1,Skilled employee/official,1,Yes,Yes,Good
0–200 DM,48,All paid,Business,3566,100–500 DM,4–7 years,4,Male: single,None,2,Car/other,30,None,Own,1,Skilled employee/official,1,None,Yes,Good
< 0 DM,6,Critical/other existing credits,New car,860,<100 DM,>=7 years,1,Female: divorced/separated/married,None,4,Unknown/no property,39,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
No checking account,12,Critical/other existing credits,New car,682,100–500 DM,4–7 years,4,Female: divorced/separated/married,None,3,Car/other,51,None,Own,2,Skilled employee/official,1,Yes,Yes,Good
< 0 DM,36,Critical/other existing credits,Furniture/equipment,5371,<100 DM,1–4 years,3,Male: single,Guarantor,2,Building society/life insurance,28,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,18,Critical/other existing credits,Radio/TV,1582,>=1000 DM,>=7 years,4,Male: single,None,4,Car/other,46,None,Own,2,Skilled employee/official,1,None,Yes,Good
No checking account,6,Existing paid duly,Radio/TV,1346,100–500 DM,>=7 years,2,Male: single,None,4,Unknown/no property,42,Bank,For free,1,Skilled employee/official,2,Yes,Yes,Good
No checking account,10,Existing paid duly,Radio/TV,1924,<100 DM,1–4 years,1,Male: single,None,4,Building society/life insurance,38,None,Own,1,Skilled employee/official,1,Yes,No,Good
>= 200 DM,36,Existing paid duly,Radio/TV,5848,<100 DM,1–4 years,4,Male: single,None,1,Car/other,24,None,Own,1,Skilled employee/official,1,None,Yes,Good
0–200 DM,24,Critical/other existing credits,Used car,7758,>=1000 DM,>=7 years,2,Female: divorced/separated/married,None,4,Unknown/no property,29,None,Rent,1,Skilled employee/official,1,None,Yes,Good
